"","Al","Fe","Mg","Label"
"1",1,0,0,"A"
"2",0.975,0,0.025,"A"
"3",0.8,0.175,0.025,"A"
"4",0.775,0.175,0.05,"A"
"5",0.775,0.225,0,"A"
"6",0.975,0,0.025,"ND1"
"7",0.8,0.175,0.025,"ND1"
"8",0.775,0.175,0.05,"ND1"
"9",0.75,0.125,0.125,"ND1"
"10",0.75,0,0.25,"ND1"
"11",0.775,0.225,0,"B"
"12",0.775,0.175,0.05,"B"
"13",0.75,0.125,0.125,"B"
"14",0.675,0.2,0.125,"B"
"15",0.675,0.325,0,"B"
"16",0.675,0.325,0,"C"
"17",0.675,0.2,0.125,"C"
"18",0.5,0.375,0.125,"C"
"19",0.5,0.5,0,"C"
"20",0.75,0.125,0.125,"D"
"21",0.75,0.05,0.2,"D"
"22",0.7,0.05,0.25,"D"
"23",0.7,0.175,0.125,"D"
"24",0.7,0.175,0.125,"E"
"25",0.675,0.2,0.125,"E"
"26",0.675,0.05,0.275,"E"
"27",0.7,0.05,0.25,"E"
"28",0.675,0.2,0.125,"F"
"29",0.5,0.375,0.125,"F"
"30",0.5,0.1,0.4,"F"
"31",0.55,0.05,0.4,"F"
"32",0.675,0.05,0.275,"F"
"33",0.775,0,0.225,"G"
"34",0.775,0.05,0.175,"G"
"35",0.7,0.05,0.25,"G"
"36",0.7,0,0.3,"G"
"37",0.675,0,0.325,"H"
"38",0.55,0,0.45,"H"
"39",0.55,0.05,0.4,"H"
"40",0.675,0.05,0.275,"H"
"41",0.55,0,0.45,"ND4"
"42",0.5,0,0.5,"ND4"
"43",0.5,0.1,0.4,"ND4"
"44",0.55,0.05,0.4,"ND4"
"45",0.675,0,0.325,"ND2"
"46",0.675,0.05,0.275,"ND2"
"47",0.6875,0.05,0.2625,"ND2"
"48",0.6875,0,0.3125,"ND2"
"49",0.6875,0.05,0.2625,"ND3"
"50",0.6875,0,0.3125,"ND3"
"51",0.7,0,0.3,"ND3"
"52",0.7,0.05,0.25,"ND3"
